loja,cod,desc,saldo,custo_hoje,preco,valor_exposto
L3,202420,ESMALTE DIVERTIDO BASE DE AGUA TURMA DA ,-12,113.99,238,2856
L3,18528,GOLA HIGIENICA ROLO PCT.C/5 SANTA CLARA,-8,16.27,347.5,2780
L3,181,LIXA BIG CANARIO ST CLARA UN,-52,6.73,36,1872
L5,16103,PINCEL BASE MACRILAN W103,-6,44.81,226.8,1361
L5,62463,PULSEIRA DE METAL  PHD,-2,2.17,670.8,1342
L5,62383,BRINCO DE METAL PHD,-3,1.42,442.8,1328
L5,62464,PULSEIRA DE METAL  PHD,-3,1.42,442.8,1328
L3,202423,BRILHO LABIAL ROLL ON TURMA DA LU,-4,164.63,331.2,1325
L5,62445,BRINCO DE METAL PHD,-5,0.6,190.8,954
L3,62464,PULSEIRA DE METAL  PHD,-2,1.42,442.8,886
L3,75682,RL854 ESPONJA DE MANGA,-3,12,288,864
L5,26608,MASCARA MATIZADORA ALHO THERAPY 500G - N,-12,33.55,66.9,803
L5,64726,SABONETE LIQUIDO FACIAL POS MAKE DETOX  ,-2,33.36,381.6,763
L5,57436,POMADA FINALIZADORA CARMESIM NAO USAR,-3,63.33,250.8,752
L5,63241,WP INVIGO ENRICH KIT SH+MASC+LEAV IN SUN,-2,230.92,349.9,700
L5,62438,BRINCO DE METAL  PHD,-6,0.38,114.72,688
L3,20610,S.LINE MEU LISO MASC.VERMELHA 300G#,-16,11.08,41.9,670
L5,62140,BRINCO DE METAL PHD,-5,0.35,130.8,654
L5,63955,MALA VERTICAL 360 4 RODAS MAT ABS,-1,61.78,643.9,644
L5,62460,BRINCO DE METAL  PHD,-5,0.38,118.8,594
L5,46024,MASC TRAT PROF DIVINE BRAÉ 200G,-3,122.59,194.9,585
L5,76385,COLAR OTIMO 76385,-29,6.16,18.9,548
L3,40044,ESM COLORAMA  JABUTICABA 8ML,-10,3.66,53.4,534
L3,1273,LIXA PARA POLIR,-53,1.34,9.9,525
L5,56007,CERA DEPILATORIA DEPILAR DE CRAVO 500G,-13,17,39.9,519
L3,9683,ESPATULA CREME LUXO PRETO SANTA CLARA,-7,8.33,72.5,508
L3,202435,BRILHO LABIAL UNICORNIO - FRAMBOESA ENCA,-4,59.82,122.5,490
L3,55475,COLA CILIOS SALON PRO 30ML,-1,16.99,478.8,479
L5,56006,CERA DEPILATORIA DEPILAR DE MEL 500G,-12,17,39.9,479
L5,75451,B-EP065-2 ESPONJA COXINHA,-4,5,119.52,478
L5,78053,CARMED HID LAB BG 10G DPLX12 DOCE LEITE,-1,202.85,463.72,464
L5,78575,BSL186-3 SILICONE P/ CABELO,-11,19,41.7,459
L5,63944,MALA VERTICAL 360 4 RODAS MAT ABS,-1,53.01,441.9,442
L3,65777,PINCA DE METAL COMUM,-2,12.6,214.8,430
L5,63828,KIT TRAVEL SIZE REVIVAL BRAÉ 60ML,-2,94.82,208.9,418
L3,77089,brinco,-3,4,130.81,392
L5,62336,BRINCO DE METAL  PHD,-1,1.21,370.8,371
L3,202445,BRILHO LABIAL UNICORNIO - DOCE MELANCIA ,-3,59.11,122.5,368
L5,78437,PIRANHA PIR-426-8663,-30,10.8,11.9,357
L5,76025,SNC TRUE HUE COLOR 55 ML,-2,84.68,169.36,339
L3,5174,BLOCO DE LIXA MARCO BONI,-32,6.91,9.9,317
L3,204323,ATIVO REDUTOR DE CAFE JAPINHA 1LT,-3,43.34,103.9,312
L3,202728,COLA PARA CILIOS POSTICOS RICCA 48H BRAN,-11,13.93,27.86,306
L5,18400,HENNA CASTANHO CLARA DELLA E DELLE 3G,-6,25.07,50.9,305
L5,76308,CHOKER REDENTORA 76308,-1,119.9,299.9,300
L1,45449,KIT CICATRIZE LISOS E ALISADOS SHAMPOO E,-10,13,29.9,299
L3,1731,PALITO UNHA CHANF UN SANTA CLARA,-103,16.83,2.9,299
L3,51217,SERUM HIDRATANTE FACIAL VITAMINA C DAGUA,-1,4.87,299.4,299
L5,62341,BRINCO DE METAL PHD,-1,0.96,298.8,299
L3,26659,ESM COLORAMA OLEO SECANTE,-10,4.62,29.4,294
L5,57411,POMADA EM PO FIXADORA CARMESIM 10GR,-12,88.27,23.9,287
L5,76595,VITAM COLOR RESVERATROL MASCARA 250G,-1,133.91,267.82,268
L5,18399,HENNA CASTANHO MEDIO DELLA E DELLE  3G,-5,25.07,52.9,264
L3,62980,AMPOLA TRIVITT ACIDO HIALURONICO POWER D,-10,9.8,24.9,249
L5,78702,BSL232-4 ELASTICO PARA CABELO,-8,14,30.74,246
L5,45079,FLUIDO BIFHASIC 120 ML HAIR EXTRATTUS,-6,12.99,40.9,245
L3,15945,LIXA POP.PRETA C/100,-12,0.05,20,240
