cod,descricao,saldo_hoje,custo_hoje,preco,fat_mai,fat_jun,fat_jul,custoEp_mai,custoEp_jun,custoEp_jul
13637,CLIPS PLAST.CABELO POTE C/250,196,20.09,0.5,15,44,31,2248,6520,4646
1731,PALITO UNHA CHANF UN SANTA CLARA,-103,16.83,2.9,133,168,207,1305,1650,2034
5174,BLOCO DE LIXA MARCO BONI,-32,6.91,9.9,0,55,190,0,1085,3720
17666,MASCARA DESIDRATADA SANTA CLARA,222,1.89,1.9,0,44,0,0,4497,0
181,LIXA BIG CANARIO ST CLARA UN,-52,6.73,36,84,28,4,2924,963,158
65128,LIXA MINI RS.P/UNHAS PCT.C/144,239,0.11,22.16,4,9,20,352,693,1528
6499,LIXA MEDIA CANARIO C/144 ST CLARA,720,0.05,35.96,0,36,0,0,2146,0
18514,PIRANHA PLASTICA SANTA CLARA,1,0.16,215978.39,64,3,0,1536,72,0
41051,PINCAS F.MULHER SANTA CLARA,0,87.21,10.9,83,56,0,927,618,0
1141,LIXA EXTRA GROSA ST CLARA UN,-407,7.07,0.25,7,19,45,110,299,709
30385,PALITO OSSO ANIMAL P/UNHA C/25 SANTA CLARA,-41,9.08,3.9,23,58,121,125,312,644
202420,ESMALTE DIVERTIDO BASE DE AGUA TURMA DA LU,-12,113.99,238,65,11,0,714,119,0
12491,LIXA CUBO BRANCA ST CLARA 3694,1,15.27,5.8,52,64,0,349,436,0
49395,FD ALGODAO CARD HID NATHY 500G ROLO 20UN/FD,35,229.8,31.9,78,0,0,725,0,0
64316,CORTADOR M.C/LIXA P/UNHA,7,4.09,8.72,18,0,36,218,0,435
202444,PALETA DE SOMBRAS TURMA DA LU,-7,182.71,32,0,105,0,0,554,0
203803,INOAR LATIFAH OLEO ARGAN E MIRRA 7ML,16,88.94,177.88,32,48,0,175,263,0
203949,BATOM LIQUIDO SOFT MATTE LIP FIX 5ML PHALLEBEAUTY,15,47.44,94.88,68,51,34,190,142,95
9683,ESPATULA CREME LUXO PRETO SANTA CLARA,-7,8.33,72.5,8,18,2,117,263,29
186,LIXA BIG PRETA ST CLARA UN,338,0.84,36,12,0,0,366,16,0
44257,OLEO ARGAN 7 ML INOAR,-21,74.29,10.9,32,16,16,180,90,90
203929,MASCARA PARA CILIOS 5D PHALLEBEAUTY,5,31.42,62.84,34,51,101,63,94,189
203933,CANETA DELINEADORA A PROVA D AGUA,28,47.52,95.04,0,39,52,0,143,190
202423,BRILHO LABIAL ROLL ON TURMA DA LU,-4,164.63,331.2,32,0,0,331,0,0
1149,PALITO MARFIM PT A? ST CLARA UN,89,0.95,195,20,24,10,115,144,58
9678,ESPATULA LUXO P/ CREME SANTA CLARA,-26,5.75,4.9,29,34,24,101,118,84
7628,LIXA PE RALIXA 284 SANTA CLARA,0,1.17,3.2,53,0,9,244,0,41
49393,FD ALGODAO CARD HID NATHY 250G ROLO 40UN/FD,-42,242.11,0.42,14,0,0,255,0,0
57408,OLEO PARA BARBA CARMESIM 30ML,0,8.17,48.9,0,0,56,0,0,196
202917,GEL PARA CABELO UNICORNIO - CABELO DE UNICORNIO CARTUCHO,-5,56.43,22.9,23,23,23,57,57,57
60779,MASCARA FACIAL PEPINO SACHE 10G PHALLEBEAUTY,0,5.4,50,12,20,17,39,69,59
75200,MOUSSE MICELAR VITAMINA C 150ML PHALLEBEAUTY,2,31.66,63.36,21,104,21,21,105,21
64092,STARGLOW PO BANANA PHALLEBEAUTY 10G,7,143,13,42,14,28,72,24,48
8636,LIXA BIG PARDA ST CLARA - UN,172,6.1,36,15,32,42,23,49,66
53891,MOUSSE MICELAR ROSA MOSQUETA 150ML,0,12,27,84,42,0,84,42,0
77522,HB102334- LÁPIS CONTORNO LABIAL START COLLECTION PLAYBOY X48 * 12,14,41.14,94.04,24,0,0,123,0,0
202435,BRILHO LABIAL UNICORNIO - FRAMBOESA ENCANTADA TURMA DA LU,-4,59.82,122.5,24,24,0,61,61,0
46448,LIXA MAD.LUXO P/OS PES SANTA CLARA,-1,1.49,72.16,0,27,0,0,122,0
13161,PINCEL PARA UNHA,0,18.92,33.81,64,32,0,76,38,0
64159,MOUSSE MICELAR ANTI OLEOSIDADE 150ML PHALLEBEAUTY,4,158.28,27,21,42,42,21,42,42
5028,BRINCO COM DETALHES GRANDE,8,0,60.9,27,0,54,35,0,69
63668,CILIOS POSTICOS 5 PARES MEY BEAUTY,1,84,1.33,0,0,16,0,0,84
78549,HJ384-4 LINER PLATINADO,0,26.4,60.36,0,60,0,0,79,0
12573,LIXA POP CAN ST CLARA UN,201,5.38,0.25,4,0,0,71,0,0
56199,ELASTICO 5,0,22,0.5,9,0,18,22,0,44
49925,ESCOVA PLAS.TRES FILEIRAS SANTA CLARA,-1,10.6,58.8,0,20,5,0,53,13
78559,HJ382-7 ESMALTE MAGNETICO 7.50ML,-1,21.6,49.38,0,34,17,0,43,22
780,BRINCO METAL/PEROLA,24,16.02,35.9,14,42,0,16,48,0
15845,CILIOS CANTO 2 PARES,40,15,0,14,14,28,15,15,30
75652,OY650-13 UNHA BAILARINA ALONGADA AUTOCOLANTE COM 24 UNHAS,2,28.8,5.27,21,0,21,29,0,29
75655,OY650-17 UNHA BAILARINA ALONGADA AUTOCOLANTE COM 24 UNHAS,4,28.8,5.27,0,21,21,0,29,29
13160,SEPARADOR DE DEDO DE EVA,3,18.92,38.29,15,0,0,57,0,0
78591,CV1085 CURVADOR P/ CILIOS,1,19.2,40.4,14,14,14,19,19,19
78556,HJ384-9 LINER PLATINADO,0,26.4,60.36,20,0,20,26,0,26
13164,FITA ADESIVA PROTETOR PARA PALPEBRA,0,12.26,24.9,10,30,0,12,37,0
75626,OY186-9 CARTELA DE UNHA BAILARINA ALONGADA,6,9.2,8.78,0,12,18,0,18,28
64415,SHAVING GEL PARA BARBEAR CAMESIM 500GR,0,77.89,298.8,0,26,0,0,45,0
65559,ESM COL UNIVERSO PARALELO ROSA PLAYE,3,0.68,9,7,0,0,39,0,0
79610,DF-UNPT12-2-UNHA POSTICA DE PLASTICO,13,11.1,24.38,24,0,12,24,0,12
75656,OY667-1 UNHA POSTICA INFANTIL ARTISTICA,7,11.5,7.9,24,0,0,34,0,0
75609,OY041-1 CARTELA DE UNHA POSTICAS,18,8.34,5.9,24,0,0,33,0,0
78752,LIXA P/PES PEQ PTA/ AMA C/12,0,14.28,30.72,14,0,0,31,0,0
75654,OY650-15 UNHA BAILARINA ALONGADA AUTOCOLANTE COM 24 UNHAS,5,28.8,5.27,21,0,0,29,0,0
75625,OY186-7 UNHA STILETTO TRANSPARENTE,1,9.2,82.8,0,0,27,0,0,28
203951,DELINEADOR LIQUIDO5D PHALLEBEAUTY,22,26.34,52.68,0,14,0,0,26,0
78545,HJ383-11 LINER GEL 8ML,0,26.4,60.36,0,0,20,0,0,26
78554,HJ383-6 LINER GEL 8ML,-1,26.4,60.36,0,0,20,0,0,26
79570,DF-UNPA-03-UNHA POSTICA DE PLASTICO - MARCA: DAFU - PACOTE COM 24,16,11.2,24.58,0,24,0,0,25,0
57839,ESPONJA DE MAQUIAGEM,8,8,0.01,8,0,16,8,0,16
75676,RL01-10 ESPONJA GOTA,7,12,288,0,0,20,0,0,24
75611,OY041-3 CARTELA DE UNHA SUPER CURTA POSTICA,33,8.34,18.3,12,0,0,17,0,0
78593,KIT1138 KIT DE ESPONJAS,-1,17,34,0,0,12,0,0,17
79626,DF416-PR10-(PRESILHA) - PLASTICO COM REVESTIMENTA EM POLIESTER,2,7.21,15.82,7,7,0,8,8,0
203450,BRINCO DE METAL - DAFU,1,15.36,20.9,16,0,0,16,0,0
64436,DF-GE068001-16 GEL DE UNHA,0,14,2.33,13,0,0,14,0,0
722,GRAMPOS 03/04,8,1.82,10.5,5,5,0,6,6,0
75682,RL854 ESPONJA DE MANGA,-3,12,288,8,0,0,12,0,0
13163,MOLDE DE SILICONE PARA SOBRANCELHA,5,12.26,24.9,0,6,0,0,12,0
79587,DF426-PR0303-01-ORNAMENTO PARA CABELO (PIRANHA),0,9.8,21.52,10,0,0,11,0,0
78582,HP1053-2 ELASTICO PARA CABELO INFANTIL,2,10,21.96,5,0,0,10,0,0
19843,PENTE PLASTICO PIOLHO S CLARA,8,4.97,273.6,2,0,0,8,0,0
